CONVERSATIONID,CHANNEL,VERSION,OPTIONS,DT,MNTH,TM,DIALOGID
a,widget,0,0,22-Aug-16,8,8/22/2016 11:08,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,6-Feb-17,2,2/6/2017 8:58,4fa757bbb8914680803d00c0001c2593
c,GMAIL,1,0,19-May-16,5,5/19/2016 14:00,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,22-Aug-16,8,8/22/2016 10:06,4fa757bbb8914680803d00c0001c2593
a,widget,0,0,29-Aug-16,8,8/29/2016 14:03,add13c7bd2d34d8695f9a342db3bf6c4
b,test,0,0,13-Jul-16,7,7/13/2016 6:43,f80f6e10e9624f08b92dc12b7577e8d4
c,test,0,0,3-Oct-16,10,10/3/2016 4:38,8591b40f435841b4b25b4f7cd345ef00
d,widget,0,0,22-Aug-16,8,8/22/2016 9:56,f80f6e10e9624f08b92dc12b7577e8d4
a,web,0,0,2-Feb-17,2,2/2/2017 3:33,c3af09a013024f8db4c9ccc2261fbf48
b,widget,0,0,26-Aug-16,8,8/26/2016 13:22,add13c7bd2d34d8695f9a342db3bf6c4
c,widget,0,0,25-Aug-16,8,8/25/2016 7:01,f80f6e10e9624f08b92dc12b7577e8d4
d,web,0,0,19-Jan-17,1,1/19/2017 2:08,703e57c7930245e1b76332a5293d3105
a,test,0,0,4-Jul-16,7,7/4/2016 4:59,f80f6e10e9624f08b92dc12b7577e8d4
b,test,0,0,4-Jul-16,7,7/4/2016 5:00,f80f6e10e9624f08b92dc12b7577e8d4
c,web,0,0,9-Feb-17,2,2/9/2017 2:49,c3af09a013024f8db4c9ccc2261fbf48
d,widget,0,0,18-Aug-16,8,8/18/2016 13:24,f80f6e10e9624f08b92dc12b7577e8d4
a,GMAIL,1,0,22-Apr-16,4,4/22/2016 10:01,f80f6e10e9624f08b92dc12b7577e8d4
b,Zendesk,1,0,2-May-16,5,5/2/2016 11:19,907e4a124cb444ee814e5cae80c88f34
c,widget,0,0,25-Aug-16,8,8/25/2016 7:56,f80f6e10e9624f08b92dc12b7577e8d4
d,test,0,0,24-Aug-16,8,8/24/2016 4:45,4fa757bbb8914680803d00c0001c2593
a,widget,0,0,6-Oct-16,10,10/6/2016 13:36,add13c7bd2d34d8695f9a342db3bf6c4
b,test,0,0,3-Oct-16,10,10/3/2016 4:27,8591b40f435841b4b25b4f7cd345ef00
c,Zendesk,1,0,22-Jun-16,6,6/22/2016 13:20,5ca44e07da1949fa8d39d06b253f08c8
d,test,0,0,15-Jul-16,7,7/15/2016 12:18,f80f6e10e9624f08b92dc12b7577e8d4
a,widget,0,0,25-Aug-16,8,8/25/2016 7:16,f80f6e10e9624f08b92dc12b7577e8d4
b,widget,0,0,29-Aug-16,8,8/29/2016 13:56,add13c7bd2d34d8695f9a342db3bf6c4
c,test,0,0,30-Jun-16,6,6/30/2016 9:03,f80f6e10e9624f08b92dc12b7577e8d4
d,voice,0,0,12-Sep-16,9,9/12/2016 11:30,add13c7bd2d34d8695f9a342db3bf6c4
